Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
777,2.2319526182410865,2.1638021390207287,2.1182356296381326,2.2025974101771184,1.9603156439922844,2.2284474919233563,,
778,2.2318155494511482,2.1634301015816866,2.117955154299274,2.2021756180708407,1.9600784689722492,2.2282687995346495,,
779,2.231472166856331,2.163177659496314,2.11757594355349,2.2017342927461483,1.9596130942994139,2.227676491911837,,
780,2.2313245368219117,2.162838432262941,2.1170302885148047,2.2011662479996916,1.959492525821371,2.2272313341391223,,
781,2.2311029197478076,2.162294219086507,2.1166605037825437,2.200948063478957,1.9591889376535214,2.227088746112787,,
782,2.23093129155872,2.1621706955805298,2.116177134628968,2.2008875223470814,1.9587948703657465,2.226592431514608,,
783,2.2304904351614483,2.1617628411212793,2.1160958415960742,2.200798572047861,1.95822961073324,2.226559833366909,,
784,2.2302421925601807,2.1616875811582985,2.115494412408535,2.200798572047861,1.9580420572545674,2.226223934455788,,
785,2.230129160416415,2.1614942813346643,2.1145881868069982,2.2002260837997745,1.9573379592394526,2.226074466091229,,
786,2.2289890417145672,2.161224577734757,2.1145293827281755,2.2001437624634796,1.957104674207883,2.2258878603653405,,
787,2.2286867476026693,2.1606160184953622,2.1142750291721093,2.199757555872009,1.9570188838695288,2.225715011997413,,
788,2.228459677463503,2.1603559430891215,2.114049628565512,2.1992666532665464,1.9566134396468915,2.2255345043343118,,
789,2.228303764222958,2.160150977219411,2.113727523309632,2.199134837405522,1.9557879559210936,2.2253516988947757,,
790,2.228130289059301,2.159664222153708,2.1129019848025763,2.1987720834448026,1.9554649334704954,2.225235225885206,,
791,2.2279926868882924,2.1592648440694586,2.112753344119674,2.198591844977469,1.9548424108038813,2.2251484645546373,,
792,2.2277815129624647,2.1590357306139034,2.112328769061573,2.1982609013796397,1.9542846673098855,2.2248240139302693,,
793,2.227513446967692,2.1588569233253483,2.1119271692005173,2.1980677920285236,1.9541278968361868,2.2245578528039065,,
794,2.2273254572789614,2.158715501783868,2.111553922848047,2.1977296806097986,1.9536738647179452,2.224303251446244,,
795,2.2270376397226133,2.1582998771924164,2.1113522714731023,2.1973403227224475,1.9534638676686535,2.224263468321897,,
796,2.226897447350292,2.158032345562676,2.1111106410662974,2.197044894078763,1.9530256733087008,2.223878919895095,,
797,2.2266453594466307,2.1578905880857433,2.110786089436718,2.196580578620439,1.952638840853945,2.2235792188642667,,
