I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6
0.5019991,0.8930683,0.5339565,0.09111413,0.2038804,0.2568867,0.4738706,0.1627411,0.5294645,0.6353687,0.05210714,0.4317172
0.3961931,0.798076,0.7844485,0.03641289,0.8962401,0.7106184,0.6773045,0.678784,0.6086177,0.6240709,0.06575218,0.6701925
0.4589149,0.6699032,0.8436304,0.9219487,0.8595911,0.7209364,0.7202416,0.7336449,0.4588083,0.3719859,0.7299944,0.296796
0.5276011,0.9460225,0.5870578,0.9147058,0.6921402,0.02531493,0.7682263,0.3617871,0.6078335,0.3996755,0.6843069,0.2885967
0.580484,0.6101868,0.5577339,0.8411555,0.06550617,0.4252616,0.9479669,0.3036756,0.01182465,0.3494394,0.2040677,0.3223998
0.2419159,0.7322862,0.7838351,0.7990656,0.3174695,0.04298628,0.634385,0.8634481,0.6764407,0.5621539,0.5625501,0.5641562
0.3720147,0.8880248,0.4424854,0.174793,0.7984515,0.09963329,0.4307478,0.271021,0.4506668,0.5171127,0.4127588,0.3862298
0.7028779,0.691419,0.2562661,0.04607501,0.07199124,0.8436556,0.1483608,0.6660652,0.385987,0.2547455,0.1236918,0.48278
0.2999234,0.8325005,0.5743867,0.9320796,0.1961734,0.9975573,0.563922,0.3910922,0.3733005,0.5299819,0.8503875,0.5608264
0.6372389,0.8592954,0.4849642,0.1017188,0.344927,0.2712593,0.5556782,0.1726272,0.7306498,0.6688697,0.04742002,0.4902761
0.4189442,0.8033592,0.4282368,0.05314844,0.7095585,0.08460922,0.403361,0.09477069,0.2296586,0.5466287,0.7683675,0.3794389
0.5387188,0.8153082,0.5245804,0.8840234,0.2974454,0.2431749,0.04056039,0.01638751,0.2997451,0.6485379,0.940919,0.3781146
0.287583,0.8771588,0.630284,0.8587278,0.4816723,0.0942088,0.5695018,0.6941966,0.7347944,0.398203,0.8690949,0.2773698
0.3772381,0.8904597,0.3753879,0.03611535,0.9952879,0.2641446,0.3500268,0.405015,0.5498041,0.5961137,0.1666978,0.4288582
0.2020171,0.6705737,0.5904726,0.8173157,0.3713727,0.9981583,0.5393775,0.6640351,0.3546281,0.4537648,0.8532522,0.6567971
0.4548323,0.7893651,0.5325025,0.2309984,0.9922138,0.9514447,0.5007654,0.01102572,0.241139,0.3707295,0.9998265,0.5362937
0.8116326,0.5104086,0.5101323,0.99145,0.6752807,0.3858627,0.984067,0.9175699,0.4233139,0.6227098,0.2957625,0.3177904
0.6091742,0.6605311,0.7001861,0.855492,0.8449304,0.7591567,0.8255698,0.4745182,0.1892047,0.4807328,0.779994,0.6872199
0.2894285,0.7407615,0.4086856,0.179909,0.9407642,0.3379339,0.4466664,0.3805714,0.2847085,0.3448367,0.3477727,0.5460957
0.3920145,0.720315,0.5043474,0.1634184,0.1753032,0.5976415,0.5516242,0.0920156,0.1638992,0.6912935,0.9185749,0.7254123
0.2766881,0.5469872,0.4884646,0.08240954,0.8601447,0.6623657,0.4821173,0.7890097,0.2884236,0.540999,0.1184305,0.5564217
0.8954071,0.6445729,0.4405279,0.1503052,0.02766884,0.683155,0.01866258,0.9995847,0.7304741,0.2955046,0.6347738,0.4951046
0.5846758,0.8931883,0.3858265,0.9020281,0.8770337,0.9722639,0.6591093,0.1554898,0.7016169,0.3881325,0.5896772,0.4531489
0.6316925,0.5221137,0.5665787,0.8680632,0.4110117,0.7248234,0.9194147,0.8618476,0.2007757,0.2174885,0.8368266,0.6793236
0.8331181,0.7554493,0.5727887,0.987034,0.4085897,0.313413,0.9708079,0.6871087,0.5556601,0.7398818,0.6657737,0.3119978
0.6206656,0.8808662,0.3192691,0.04039379,0.2743368,0.08903079,0.1684879,0.5093902,0.5380148,0.2496715,0.07617826,0.5358022
0.5368724,0.8534831,0.2070122,0.9635303,0.02159535,0.04029427,0.2245808,0.78692,0.7644246,0.4578005,0.7261799,0.6746355
0.278784,0.9098788,0.4296542,0.9616999,0.4549041,0.890425,0.4459467,0.5684649,0.6566049,0.3858064,0.5682173,0.3355702
0.5088595,0.8748559,0.483316,0.03473869,0.5245945,0.1461946,0.4276732,0.08282584,0.3924596,0.5574686,0.9171318,0.2637969
0.495695,0.9133422,0.5328506,0.06557338,0.03672861,0.06928129,0.3073431,0.1294459,0.5034255,0.4326938,0.7293602,0.656878
0.1826648,0.8299278,0.4699055,0.09226452,0.5044238,0.7904668,0.4853001,0.6727652,0.6320207,0.4904745,0.4397917,0.3047401
0.6880168,0.8264245,0.5188457,0.06083516,0.02996667,0.7017695,0.4714503,0.1225382,0.7335032,0.5467255,0.8598508,0.5072286
