I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.594215,0.8546801,0.7945004,0.7171061,0.1089031,0.6267576,0.05375962,0.1731377,0.8080205,0.3082705,0.497695,0.8128195,0.139726,0.7955371,0.4076641,0.2026209,0.7569945,0.01627171,0.1258419,0.5719875,0.4649798,0.5147774,0.5179656,0.8660382,0.9336795,0.2646637,0.3291363,0.4626036,0.6665873,0.9481717,0.4126579,0.4893642,0.4037053,0.06447524,0.6820865,0.3126817,0.3869066,0.6325948,0.1762295,0.6877052,0.1234561,0.3113375,0.2976704,0.2826148,0.407607,0.5492737
0.3291363,0.4626036,0.6665873,0.9481717,0.4126579,0.4893642,0.4037053,0.06447524,0.6820865,0.3126817,0.3869066,0.6325948,0.1762295,0.6877052,0.1234561,0.3113375,0.2976704,0.2826148,0.407607,0.5492737,0.4043835,0.5775449,0.4454812,0.08509263,0.06179937,0.1434894,0.1938023,0.2185691,0.4455248,0.6773862,0.344694,0.5698126,0.296283,0.2531259,0.5006096,0.2167792,0.4989572,0.4384204,0.2054803,0.5731308,0.2603356,0.3355944,0.5287241,0.2609718,0.4755279,0.5661595
0.1938023,0.2185691,0.4455248,0.6773862,0.344694,0.5698126,0.296283,0.2531259,0.5006096,0.2167792,0.4989572,0.4384204,0.2054803,0.5731308,0.2603356,0.3355944,0.5287241,0.2609718,0.4755279,0.5661595,0.4445274,0.5546186,0.4140845,0.9864494,0.2556239,0.7832559,0.4903224,0.5255307,0.3932052,0.2705874,0.3639534,0.2308,0.6309667,0.2279669,0.5580388,0.6321557,0.6435748,0.363804,0.509312,0.4678845,0.4500942,0.4088742,0.4818563,0.1670392,0.463431,0.2572281
0.4903224,0.5255307,0.3932052,0.2705874,0.3639534,0.2308,0.6309667,0.2279669,0.5580388,0.6321557,0.6435748,0.363804,0.509312,0.4678845,0.4500942,0.4088742,0.4818563,0.1670392,0.463431,0.2572281,0.4705067,0.5009944,0.4295724,0.1286214,0.6318526,0.4516534,0.4267506,0.7295795,0.1007523,0.2984041,0.4314157,0.4314381,0.3705939,0.5384977,0.6288714,0.7459295,0.4163513,0.6080425,0.406091,0.6058747,0.4304703,0.6435222,0.3656998,0.3972552,0.4371431,0.5286708
0.4267506,0.7295795,0.1007523,0.2984041,0.4314157,0.4314381,0.3705939,0.5384977,0.6288714,0.7459295,0.4163513,0.6080425,0.406091,0.6058747,0.4304703,0.6435222,0.3656998,0.3972552,0.4371431,0.5286708,0.554323,0.4616831,0.3802589,0.9910415,0.9541833,0.07681501,0.2841479,0.5108176,0.2613921,0.3625984,0.6040482,0.7585638,0.3475837,0.5395151,0.5482931,0.7480533,0.407734,0.3500373,0.2277715,0.5341014,0.5539503,0.2768863,0.234142,0.615796,0.231472,0.3846457
0.2841479,0.5108176,0.2613921,0.3625984,0.6040482,0.7585638,0.3475837,0.5395151,0.5482931,0.7480533,0.407734,0.3500373,0.2277715,0.5341014,0.5539503,0.2768863,0.234142,0.615796,0.231472,0.3846457,0.419232,0.4902724,0.4516187,0.04429919,0.2778124,0.0745734,0.3107641,0.6050755,0.1603978,0.2083158,0.6774302,0.6610267,0.4815748,0.2681867,0.4444986,0.75125,0.5894542,0.615455,0.02986079,0.8124183,0.4292042,0.335152,0.500735,0.7883245,0.4891533,0.3634385
0.3107641,0.6050755,0.1603978,0.2083158,0.6774302,0.6610267,0.4815748,0.2681867,0.4444986,0.75125,0.5894542,0.615455,0.02986079,0.8124183,0.4292042,0.335152,0.500735,0.7883245,0.4891533,0.3634385,0.54794,0.4875681,0.4373104,0.891864,0.9709792,0.4874546,0.01708761,0.4618032,0.09395357,0.1513414,0.315191,0.5932311,0.4019001,0.08366966,0.2490463,0.7273012,0.4098541,0.4781715,0.3227271,0.4327043,0.2558551,0.2123919,0.6550127,0.5393677,0.2327183,0.5929047
0.01708761,0.4618032,0.09395357,0.1513414,0.315191,0.5932311,0.4019001,0.08366966,0.2490463,0.7273012,0.4098541,0.4781715,0.3227271,0.4327043,0.2558551,0.2123919,0.6550127,0.5393677,0.2327183,0.5929047,0.434867,0.5118073,0.497568,0.08126883,0.3341853,0.6155417,0.2717894,0.06805494,0.3588477,0.2004588,0.3738172,0.560504,0.8199486,0.2979729,0.3184812,0.8212498,0.226108,0.4613518,0.08389221,0.02587442,0.2699103,0.3255769,0.3217448,0.7145851,0.02621613,0.2742031
0.2717894,0.06805494,0.3588477,0.2004588,0.3738172,0.560504,0.8199486,0.2979729,0.3184812,0.8212498,0.226108,0.4613518,0.08389221,0.02587442,0.2699103,0.3255769,0.3217448,0.7145851,0.02621613,0.2742031,0.4747988,0.4715233,0.4192311,0.829558,0.7022212,0.9728339,0.1693998,0.3007999,0.6659371,0.1487443,0.6247449,0.3956534,0.3323698,0.08418006,0.006890598,0.4174062,0.5634474,0.3961016,0.3485698,0.3317199,0.08453019,0.6956769,0.2819249,0.3258021,0.2721314,0.426708
0.1693998,0.3007999,0.6659371,0.1487443,0.6247449,0.3956534,0.3323698,0.08418006,0.006890598,0.4174062,0.5634474,0.3961016,0.3485698,0.3317199,0.08453019,0.6956769,0.2819249,0.3258021,0.2721314,0.426708,0.6620336,0.5632933,0.5886706,0.1100082,0.32867,0.7053891,0.5651971,0.5033923,0.809115,0.6035942,0.3002964,0.7306999,0.5892627,0.448855,0.4198488,0.0002060061,0.3066443,0.5169794,0.6501157,0.007828346,0.3673509,0.3428473,0.0032569,0.7597948,0.2853111,0.1401562
