I1,I2,I3,I4,I5,I6,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20
0.4009426,0.5139398,0.5071327,0.9497815,0.8910637,0.28537,0.3608765,0.6282639,0.601321,0.2760507,0.8041786,0.5229844,0.3198128,0.7054291,0.3937304,0.6207505,0.4319327,0.7854802,0.6903401,0.4884413,0.6510117,0.5440372,0.2999737,0.6736503,0.6135992,0.282865
0.4715238,0.5790262,0.6334401,0.8455604,0.3687238,0.6133372,0.405573,0.406368,0.4619229,0.6691322,0.7014481,0.4834146,0.3490175,0.3322803,0.5768815,0.3792465,0.3190375,0.4327881,0.7074807,0.3136658,0.7782177,0.6850001,0.690094,0.6137149,0.3952139,0.3849773
0.5324104,0.5313116,0.431578,0.9112579,0.5177459,0.9841871,0.2163391,0.6349277,0.6914173,0.5680558,0.6435481,0.7176188,0.6820008,0.2198933,0.6283231,0.5807635,0.5652699,0.3248842,0.7306632,0.5818648,0.3969065,0.5530443,0.5643016,0.1819166,0.7298948,0.628183
0.438915,0.5864133,0.5729597,0.8579296,0.1147713,0.2631337,0.5875278,0.4740593,0.5312559,0.7521266,0.3660576,0.3901466,0.6589634,0.4777831,0.7398103,0.5213798,0.549111,0.2559359,0.6364828,0.3024737,0.336884,0.5951958,0.3916098,0.3233641,0.3488263,0.5421109
0.4750696,0.4809958,0.5453089,0.04277329,0.09213679,0.7265379,0.7395583,0.6273999,0.4593649,0.6863181,0.3881757,0.5729156,0.2129831,0.6785548,0.309514,0.685578,0.7832313,0.3066596,0.7243267,0.7366263,0.2071356,0.2484745,0.7460064,0.3601679,0.4876047,0.7987741
0.5141063,0.4651907,0.5053501,0.8721515,0.6790661,0.5623587,0.5828537,0.4363187,0.7759045,0.3546221,0.7466171,0.8012452,0.6169841,0.4667544,0.2613592,0.659215,0.5505202,0.8057885,0.3031641,0.7173762,0.775264,0.3406569,0.5523436,0.2106518,0.6640303,0.5386497
0.4813465,0.6056041,0.5249105,0.9717636,0.7658573,0.8760171,0.568512,0.495282,0.3078023,0.6723117,0.6330469,0.5045763,0.7892799,0.3136886,0.5405868,0.4997011,0.4483806,0.6715114,0.3369778,0.7417191,0.2871715,0.6541999,0.7114407,0.6393715,0.4122022,0.6948008
0.4217548,0.474867,0.4671403,0.8306518,0.09106956,0.9662813,0.6379588,0.3323379,0.4966535,0.7600354,0.2449002,0.4493198,0.5551692,0.6573417,0.4573894,0.6246126,0.3027832,0.5067146,0.4783972,0.6161597,0.4676369,0.2793823,0.2926534,0.4260155,0.4505731,0.4468061
0.5023518,0.6716866,0.5502213,0.03967281,0.633792,0.9070482,0.4835334,0.5726414,0.2523549,0.5976157,0.4905313,0.5225493,0.5383699,0.4003213,0.7405002,0.3918386,0.5929562,0.3914051,0.5548391,0.4311295,0.4184222,0.6180607,0.304637,0.3882984,0.4428856,0.3939447
0.5546889,0.6132145,0.4892749,0.7866827,0.5061435,0.2712747,0.3578396,0.6740951,0.6116577,0.4139214,0.4171375,0.6070042,0.6636502,0.3034038,0.5307859,0.4404962,0.4398331,0.5824617,0.7065228,0.2332162,0.4238153,0.4478071,0.3513999,0.5379122,0.5794678,0.5135908
0.6297804,0.5901303,0.6086117,0.1214186,0.1331741,0.8785401,0.697899,0.425577,0.5479222,0.2424907,0.5266675,0.4198875,0.4606511,0.2059515,0.599008,0.3341723,0.3052906,0.3593995,0.2232454,0.5765306,0.6386432,0.3417358,0.5456474,0.7576914,0.7993823,0.3903664
0.5034014,0.4900678,0.4486325,0.2015765,0.09953471,0.2575244,0.3280758,0.5049307,0.3339066,0.7194166,0.3150212,0.6482689,0.3786727,0.5755919,0.550637,0.2228885,0.3597952,0.4471509,0.3338433,0.7822188,0.2840132,0.554913,0.2704635,0.7275677,0.5819428,0.2724693
