Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
226,0.000320647,0.00027974,0.000664549,0.000308867,0.000338092,0.000342466
227,0.000323416,0.000277736,0.000666157,0.000305548,0.000338092,0.000344814
228,0.000325418,0.00027655,0.000665069,0.000307428,0.00033998,0.000345775
229,0.000325988,0.000277428,0.000666319,0.000310668,0.00034163,0.000345479
230,0.000325465,0.00027722,0.000666319,0.000310668,0.000343035,0.000345479
231,0.000325465,0.000277857,0.000664081,0.000309205,0.000342022,0.000347159
232,0.000318088,0.000278228,0.000662292,0.000310684,0.00034363,0.000341023
233,0.00031794,0.000278228,0.000660669,0.000310684,0.00034363,0.000340984
234,0.000316254,0.000279031,0.000660638,0.000311146,0.000345149,0.000340875
235,0.000316254,0.000280198,0.000659865,0.00031509,0.000345149,0.000341422
236,0.000313709,0.000279972,0.000660727,0.000314859,0.00034281,0.000341795
237,0.00031052,0.000280625,0.000665523,0.000315953,0.000344167,0.000341795
238,0.00031052,0.000280625,0.000665726,0.000318639,0.000345326,0.000343745
239,0.00031052,0.000279379,0.000663348,0.000320477,0.000344204,0.000342033
240,0.000308435,0.000279604,0.000457237,0.000322504,0.000345066,0.000344229
241,0.000308435,0.000280778,0.000459833,0.000322504,0.000345066,0.000343853
242,0.000308435,0.000280778,0.00046025,0.000322383,0.000346731,0.000343636
243,0.000309867,0.000278264,0.000463046,0.000321299,0.000348015,0.000343569
244,0.000309568,0.000278312,0.000460727,0.000321299,0.000347359,0.000343515
245,0.000309527,0.00027864,0.000459675,0.000321299,0.000347111,0.000343515
246,0.000309527,0.000278507,0.000457986,0.00031959,0.000344522,0.000339243
247,0.000311482,0.000278507,0.000459034,0.00031959,0.000344081,0.000339453
248,0.000310106,0.0002744,0.000455888,0.000319107,0.000345764,0.000339453
249,0.000310106,0.000274511,0.000455888,0.000319107,0.000345948,0.000339453
250,0.000310106,0.000275403,0.000456449,0.00032115,0.000345653,0.000334451
251,0.000309961,0.000275747,0.00045642,0.000327394,0.000346861,0.000334451
