Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
265,1.96868665,1.976842656,1.991732719,1.970284522,1.972617879,1.968697763
266,1.968685973,1.976676475,1.991728735,1.97035569,1.972539335,1.968696668
267,1.968587463,1.976640652,1.991280458,1.970305371,1.972357633,1.968597829
268,1.968760424,1.976534906,1.991428406,1.970248705,1.971876723,1.968709827
269,1.968659125,1.976423436,1.991485442,1.970227843,1.971876325,1.968753303
270,1.968638217,1.976286285,1.991154268,1.970012084,1.971854537,1.968609876
271,1.968578535,1.976175151,1.991190313,1.969947644,1.971687847,1.968508443
272,1.968402956,1.976168266,1.991104372,1.969964956,1.971667408,1.968496526
273,1.968195029,1.975857223,1.990498212,1.969881722,1.971586417,1.968467034
274,1.968355811,1.975630619,1.990478512,1.969836279,1.971585685,1.968198638
275,1.968298643,1.975505084,1.990451473,1.969727936,1.971584983,1.968183621
276,1.968021088,1.975445138,1.990449416,1.969603036,1.971135158,1.968164938
277,1.96779299,1.975444545,1.990361986,1.96951916,1.971101338,1.968366993
278,1.967750787,1.975443095,1.990274549,1.969352777,1.971003126,1.968283249
279,1.967750315,1.975313228,1.990035741,1.969346966,1.970962977,1.968251832
280,1.967406518,1.97514248,1.990202599,1.969344973,1.970882636,1.968211157
281,1.967405833,1.97511248,1.990172685,1.969344636,1.970778656,1.968128676
282,1.967354089,1.974968422,1.989868005,1.969236356,1.97074083,1.968100027
283,1.967353511,1.974854733,1.98975277,1.96915777,1.97076443,1.96812008
284,1.967330423,1.974833585,1.989748138,1.969147595,1.970763763,1.968105268
285,1.967195871,1.974728042,1.989691768,1.969105727,1.970714256,1.968104913
286,1.967083719,1.974798504,1.98967862,1.969065887,1.970438369,1.967995035
287,1.967109854,1.974659608,1.989373943,1.969065606,1.97032785,1.968242383
288,1.967008002,1.974734372,1.989419197,1.968869871,1.970326948,1.968307663
289,1.96700621,1.974759543,1.989253195,1.968869503,1.970326638,1.968248938
290,1.966802892,1.974978735,1.988931774,1.968745301,1.970332315,1.968230161
291,1.966802553,1.974637895,1.988799652,1.968680701,1.970263019,1.968219778
292,1.966764586,1.974479311,1.988428279,1.96858591,1.970163858,1.968165017
293,1.966757149,1.974503166,1.988401143,1.968585691,1.970046176,1.968048532
294,1.96671884,1.974196951,1.988313872,1.968556727,1.969977376,1.967846402
295,1.966588492,1.974196794,1.98815525,1.968470012,1.969888996,1.967662548
296,1.966647823,1.974195737,1.988063322,1.968346931,1.969888209,1.967662139
297,1.966563401,1.974195377,1.988061889,1.968231231,1.969887016,1.967552118
298,1.966520002,1.973972492,1.987599783,1.968170895,1.969886778,1.967540206
299,1.966519626,1.973963459,1.987576256,1.96816092,1.969879562,1.967490637
300,1.966482289,1.973928077,1.987650297,1.967962755,1.969849852,1.967406712
301,1.966405058,1.973646604,1.987605915,1.967961791,1.969849729,1.967324838
302,1.966359634,1.973645483,1.987490537,1.967860264,1.969845914,1.967468166
303,1.966158981,1.973644391,1.987362138,1.967858749,1.969632673,1.967450576
304,1.966158473,1.973345798,1.987361732,1.967965892,1.969678568,1.967231284
305,1.966151604,1.972909461,1.987219605,1.96793075,1.969636622,1.967223716
306,1.966113457,1.972627807,1.987304012,1.96792836,1.969636331,1.967098051
307,1.966113166,1.972627297,1.987033477,1.968056268,1.969635828,1.967096423
308,1.966112601,1.972613916,1.986978761,1.968055601,1.969475223,1.967076212
309,1.965905479,1.972531911,1.986990336,1.967764438,1.969511758,1.966898831
310,1.965822546,1.972348842,1.986893094,1.967763731,1.969391272,1.966898487
311,1.965748554,1.972388607,1.986892407,1.967635138,1.969298683,1.966898081
312,1.965720318,1.972377204,1.986969823,1.967570045,1.969298339,1.966820889
313,1.965685594,1.972248427,1.986829204,1.967461248,1.969287271,1.966818471
314,1.965629803,1.972067131,1.986565774,1.967457207,1.969176968,1.966920752
315,1.965384111,1.971988201,1.986287624,1.967417954,1.969036377,1.966907591
316,1.965365608,1.971987588,1.986238462,1.96741778,1.96910274,1.966881362
317,1.96549236,1.971789119,1.98620792,1.967365457,1.969305347,1.966850663
318,1.965491953,1.971764641,1.98605813,1.967364139,1.969210657,1.966831502
319,1.965538865,1.971668265,1.985960005,1.967351738,1.96914151,1.966793835
320,1.965565233,1.971543258,1.98575525,1.967296865,1.969141335,1.966792753
321,1.96541227,1.971541932,1.985592012,1.967260549,1.96913899,1.966662525
322,1.965252872,1.971506108,1.985527135,1.967254517,1.969207159,1.966652016
323,1.965199173,1.971483205,1.985526915,1.967228585,1.96908848,1.966650462
324,1.965048618,1.971387846,1.985425457,1.967228326,1.968963865,1.966594103
325,1.965048451,1.971221283,1.985327419,1.96722688,1.968853366,1.966390196
326,1.965006138,1.971220615,1.985248504,1.967225568,1.968771446,1.966385535
327,1.964925601,1.971383317,1.985121908,1.967205205,1.968721249,1.966240726
328,1.96472374,1.971382843,1.985236018,1.967069448,1.968616693,1.966239527
329,1.964609788,1.971387642,1.985176282,1.967064409,1.968638522,1.966239096
330,1.964369021,1.971442445,1.984958815,1.967048556,1.968605052,1.966238857
331,1.96435636,1.971316414,1.985070381,1.967098173,1.96852722,1.966238344
332,1.964103254,1.971274385,1.98493069,1.966902177,1.968506143,1.966183054
333,1.96410202,1.971263032,1.984902247,1.966901786,1.968633221,1.966181837
334,1.963891058,1.971012332,1.984886767,1.966878897,1.968525001,1.966376659
335,1.96397903,1.970998408,1.984565731,1.966930869,1.968738161,1.966326735
336,1.963972115,1.970998294,1.98456552,1.967053302,1.968737335,1.966246473
337,1.963827145,1.970941954,1.984564964,1.967005915,1.968736978,1.966128126
338,1.963567591,1.970909507,1.984484125,1.96700534,1.968617912,1.965953059
339,1.963520584,1.97099327,1.984340774,1.966889748,1.968532509,1.965887408
340,1.963594732,1.971150639,1.984320091,1.966888282,1.968367519,1.965833377
341,1.963470938,1.971177164,1.984385273,1.96688797,1.968284866,1.96558097
342,1.963428483,1.971123023,1.984237253,1.966887796,1.968252233,1.965478654
343,1.963625079,1.970968529,1.984212484,1.966887227,1.968065228,1.96539109
344,1.963626989,1.970942969,1.984065655,1.96688525,1.968091742,1.965377593
345,1.9633023,1.971024833,1.984138262,1.966755343,1.968090998,1.965181112
346,1.963301762,1.970897984,1.984079971,1.966507902,1.96804431,1.965218423
347,1.963230019,1.970774379,1.983982788,1.966488371,1.967901702,1.965088492
348,1.963205406,1.970650441,1.983977615,1.966483866,1.967788901,1.965044796
349,1.963203618,1.970621193,1.983957335,1.966483487,1.967787872,1.965031766
350,1.963203097,1.970558419,1.983906988,1.966482372,1.967373273,1.965031251
351,1.963260264,1.970493004,1.983776875,1.966336843,1.967360573,1.965030408
352,1.963260084,1.970478907,1.983732359,1.966336659,1.967165928,1.965030107
353,1.963259937,1.970285424,1.983780815,1.966100009,1.96716515,1.965028239
354,1.963254811,1.970282231,1.983762339,1.966099729,1.967295756,1.965292286
355,1.963075742,1.969901158,1.983759263,1.966099136,1.967269236,1.965272624
356,1.96302795,1.969835908,1.983758768,1.966098425,1.967101053,1.965272091
